Month,Python: (United States)
2004-01,29
2004-02,29
2004-03,31
2004-04,30
2004-05,26
2004-06,28
2004-07,27
2004-08,31
2004-09,29
2004-10,27
2004-11,26
2004-12,27
2005-01,27
2005-02,27
2005-03,27
2005-04,25
2005-05,29
2005-06,32
2005-07,27
2005-08,26
2005-09,25
2005-10,32
2005-11,27
2005-12,25
2006-01,26
2006-02,25
2006-03,26
2006-04,25
2006-05,24
2006-06,25
2006-07,23
2006-08,26
2006-09,26
2006-10,24
2006-11,24
2006-12,22
2007-01,22
2007-02,23
2007-03,24
2007-04,23
2007-05,25
2007-06,25
2007-07,26
2007-08,25
2007-09,24
2007-10,26
2007-11,25
2007-12,23
2008-01,25
2008-02,27
2008-03,27
2008-04,28
2008-05,27
2008-06,27
2008-07,27
2008-08,26
2008-09,26
2008-10,28
2008-11,26
2008-12,26
2009-01,27
2009-02,30
2009-03,29
2009-04,30
2009-05,27
2009-06,28
2009-07,28
2009-08,27
2009-09,30
2009-10,30
2009-11,29
2009-12,26
2010-01,26
2010-02,30
2010-03,29
2010-04,28
2010-05,28
2010-06,29
2010-07,25
2010-08,26
2010-09,26
2010-10,29
2010-11,28
2010-12,25
2011-01,28
2011-02,31
2011-03,29
2011-04,30
2011-05,28
2011-06,30
2011-07,29
2011-08,29
2011-09,31
2011-10,31
2011-11,30
2011-12,25
2012-01,28
2012-02,32
2012-03,33
2012-04,32
2012-05,30
2012-06,30
2012-07,30
2012-08,31
2012-09,31
2012-10,34
2012-11,31
2012-12,28
2013-01,32
2013-02,36
2013-03,35
2013-04,36
2013-05,35
2013-06,33
2013-07,35
2013-08,36
2013-09,37
2013-10,40
2013-11,40
2013-12,33
2014-01,37
2014-02,41
2014-03,39
2014-04,41
2014-05,39
2014-06,39
2014-07,43
2014-08,39
2014-09,44
2014-10,46
2014-11,41
2014-12,39
2015-01,40
2015-02,47
2015-03,46
2015-04,50
2015-05,44
2015-06,50
2015-07,50
2015-08,48
2015-09,53
2015-10,56
2015-11,52
2015-12,46
2016-01,51
2016-02,59
2016-03,60
2016-04,59
2016-05,54
2016-06,60
2016-07,56
2016-08,53
2016-09,60
2016-10,62
2016-11,62
2016-12,57
2017-01,63
2017-02,77
2017-03,77
2017-04,75
2017-05,69
2017-06,73
2017-07,68
2017-08,69
2017-09,75
2017-10,80
2017-11,77
2017-12,64
2018-01,72
2018-02,83
2018-03,79
2018-04,83
2018-05,74
2018-06,80
2018-07,75
2018-08,78
2018-09,85
2018-10,92
2018-11,83
2018-12,68
2019-01,83
2019-02,91
2019-03,86
2019-04,91
2019-05,83
2019-06,87
2019-07,88
2019-08,82
2019-09,97
2019-10,100
2019-11,87
